location_id,location_name,lat,lon,geo_source
a0d0c5ec-074e-4fb4-b112-9caee21d717a,Oak Street District,41.9005112,-87.626725,firecrawl+nominatim
dd1e195c-83d6-4fe8-b09d-3c0eacc59059,Ohio House,41.8927247,-87.633172,nominatim
d14fb43f-6832-4512-918e-9b1d33446f7c,Ohio St. Beach,41.8934893,-87.6125998,nominatim
9c408364-019f-4639-bc18-46f728259492,Omni,41.8947239,-87.6249368,manual+firecrawl
efb07b22-0160-4528-81b6-9a474fce0e54,Oprah Winfrey Mural,41.8812868,-87.6486727,nominatim
14733c5f-0069-4f0e-81c8-83f14cf74be6,Origin of Great Chicago Fire of 1871,41.8694736,-87.6419112,known_address+nominatim
538a2300-ab23-4f1e-bac8-591867e2eafa,Osteria del Pastaio,41.8978294,-87.6252295,firecrawl+nominatim
40bc7b67-8e6e-43d2-a649-235e24f7328b,Osteria del Pastaio,41.8978294,-87.6252295,firecrawl+nominatim
26de0f73-448c-4a37-bc6d-eea719dab500,"PB&J: Pizza, Beer and Jukebox",41.8859157,-87.6496107,firecrawl+nominatim
d5c859ea-fbc5-4196-99ed-6082bb09354e,Palmer House Hilton,41.8803325,-87.6269504,nominatim
5fa3f7a6-0017-4fa2-9523-fc815ff7e1df,Park Hyatt,41.8972351,-87.6252667,nominatim
c335fe35-0888-4f48-95f2-a1d3046436d8,Pasta Veneta,41.886873,-87.656636,nominatim
7b95c7d0-ac83-48b5-a2fb-22ece00e43fd,Pasta Veneta,41.886873,-87.656636,nominatim
4ec76099-f6f8-4a85-8a18-f18198507539,Pendry,41.8865558,-87.6250085,nominatim
c8a62a0d-9360-475e-86f5-f7e6d844761c,Peninsula,41.8962892,-87.6249808,nominatim
94e40694-a823-4b46-a8c2-cad148f2dacd,Ping Tom Park,41.8588987,-87.6325387,nominatim
7df814b4-23d4-48eb-b86e-51325927c1e4,Ping Tom Park,41.8588987,-87.6325387,nominatim
3fe93f70-12cb-4edd-9134-eabc077a6747,Portillo's,41.9463296,-87.7121809,nominatim
d85af6a8-8d67-4b9a-9bc9-39ac42ea30d9,Primark,41.8830101,-87.627367,nominatim
fa33cd1d-9ae6-4f76-8774-6801edaff5b7,Publican Quality Meats,41.8866081,-87.6484922,nominatim
4ca9eb0b-6bf7-44f6-b931-3f5e3a744f30,Purple Pig,41.8907486,-87.624603,nominatim
9aa11a0d-8a30-4044-821f-99bb30904ca3,Radisson Blu,41.8865127,-87.6201484,nominatim
4e9cbe8e-94a3-435f-8883-8fe07a4e8e56,Raising Cane's Chicken Fingers - Loop,41.882248,-87.6247084,nominatim
b3282532-392f-4a65-bb0f-7a6e21fac982,Raising Cane's Chicken Fingers - Loop,41.882248,-87.6247084,nominatim
be664953-f2d7-4ae6-8e94-1101c88f1a2a,Raising Cane’s Chicken Fingers - Lincoln Park,41.9251004,-87.6485641,known_address+nominatim
131e6504-9da7-4ea3-8da1-0ea7386a4aab,Raising Cane’s Chicken Fingers - Lincoln Park,41.9251004,-87.6485641,known_address+nominatim
1cc17f6b-9ea9-40d1-b9ea-879960a20e35,Raising Cane’s Chicken Fingers - Loyola,41.9986503,-87.6602888,known_address+nominatim
8f0be062-19b1-4a4f-94f9-d9ddeebfa66d,Raising Cane’s Chicken Fingers - Loyola,41.9986503,-87.6602888,known_address+nominatim
d2fb84ed-cfee-4f97-a122-ae1cad1ae003,Raising Cane’s Chicken Fingers - South Loop,41.8700036,-87.6419271,known_address+nominatim
8beb6e82-e512-49eb-8230-adf20094e5aa,Raising Cane’s Chicken Fingers - South Loop,41.8700036,-87.6419271,known_address+nominatim
3cb3f138-7737-4aa0-813b-0a2c7064e595,Raising Cane’s Chicken Fingers - West Loop,41.8847,-87.6483994,known_address+nominatim
